,id,terrestrial_date,sol,ls,month,min_temp,pressure,terrestrial_date 
1,2,2012-08-16,10,155,6,-75.0,739.0,2012-08-16
2,13,2012-08-17,11,156,6,-76.0,740.0,2012-08-17
3,24,2012-08-18,12,156,6,-76.0,741.0,2012-08-18
4,35,2012-08-19,13,157,6,-74.0,732.0,2012-08-19
5,46,2012-08-20,14,157,6,-74.0,740.0,2012-08-20
6,57,2012-08-21,15,158,6,-78.0,740.0,2012-08-21
7,68,2012-08-22,16,158,6,-77.0,740.0,2012-08-22
8,79,2012-08-23,17,159,6,-76.0,742.0,2012-08-23
9,112,2012-08-27,21,161,6,-74.0,741.0,2012-08-27
10,114,2012-08-28,22,162,6,-74.0,742.0,2012-08-28
11,123,2012-08-29,23,162,6,-75.0,741.0,2012-08-29
12,134,2012-08-30,24,163,6,-75.0,742.0,2012-08-30
13,145,2012-08-31,25,163,6,-75.0,743.0,2012-08-31
14,156,2012-09-01,26,164,6,-76.0,745.0,2012-09-01
15,163,2012-09-02,27,164,6,-75.0,743.0,2012-09-02
16,170,2012-09-03,28,165,6,-75.0,745.0,2012-09-03
17,171,2012-09-04,29,166,6,-75.0,747.0,2012-09-04
18,172,2012-09-05,30,166,6,-74.0,747.0,2012-09-05
19,173,2012-09-06,31,167,6,-74.0,745.0,2012-09-06
20,175,2012-09-08,33,168,6,-73.0,748.0,2012-09-08
21,176,2012-09-10,34,168,6,-73.0,748.0,2012-09-10
22,177,2012-09-11,35,169,6,-73.0,749.0,2012-09-11
23,178,2012-09-12,36,169,6,-73.0,750.0,2012-09-12
24,179,2012-09-13,37,170,6,-73.0,750.0,2012-09-13
25,180,2012-09-14,38,171,6,-73.0,750.0,2012-09-14
26,181,2012-09-15,39,171,6,-75.0,751.0,2012-09-15
27,182,2012-09-16,40,172,6,-75.0,753.0,2012-09-16
28,183,2012-09-17,41,172,6,-75.0,753.0,2012-09-17
29,184,2012-09-18,42,173,6,-75.0,754.0,2012-09-18
30,185,2012-09-19,43,173,6,-74.0,756.0,2012-09-19
31,186,2012-09-20,44,174,6,-75.0,757.0,2012-09-20
32,187,2012-09-21,45,175,6,-74.0,758.0,2012-09-21
33,188,2012-09-22,46,175,6,-74.0,758.0,2012-09-22
34,189,2012-09-23,47,176,6,-75.0,758.0,2012-09-23
35,190,2012-09-24,48,176,6,-75.0,759.0,2012-09-24
36,191,2012-09-25,49,177,6,-74.0,761.0,2012-09-25
37,192,2012-09-26,50,177,6,-72.0,761.0,2012-09-26
38,193,2012-09-27,51,178,6,-76.0,762.0,2012-09-27
39,194,2012-09-28,52,179,6,-74.0,762.0,2012-09-28
40,195,2012-09-29,53,179,6,-71.0,764.0,2012-09-29
41,196,2012-09-30,54,180,7,-72.0,766.0,2012-09-30
42,197,2012-10-01,55,180,7,-74.0,766.0,2012-10-01
43,198,2012-10-02,56,181,7,-73.0,768.0,2012-10-02
44,199,2012-10-03,57,181,7,-73.0,769.0,2012-10-03
45,200,2012-10-04,58,182,7,-74.0,769.0,2012-10-04
46,201,2012-10-05,59,183,7,-76.0,771.0,2012-10-05
47,202,2012-10-06,60,183,7,-75.0,772.0,2012-10-06
48,203,2012-10-07,61,184,7,-72.0,772.0,2012-10-07
49,204,2012-10-08,62,184,7,-72.0,774.0,2012-10-08
50,205,2012-10-09,63,185,7,-73.0,775.0,2012-10-09
51,206,2012-10-10,64,186,7,-74.0,776.0,2012-10-10
52,207,2012-10-11,65,186,7,-72.0,777.0,2012-10-11
53,208,2012-10-12,66,187,7,-73.0,778.0,2012-10-12
54,209,2012-10-13,67,187,7,-73.0,780.0,2012-10-13
55,210,2012-10-14,68,188,7,-71.0,781.0,2012-10-14
56,211,2012-10-15,69,189,7,-73.0,778.0,2012-10-15
57,212,2012-10-17,70,189,7,-72.0,783.0,2012-10-17
58,213,2012-10-18,71,190,7,-71.0,784.0,2012-10-18
59,214,2012-10-19,72,190,7,-73.0,785.0,2012-10-19
60,215,2012-10-20,73,191,7,-70.0,788.0,2012-10-20
61,216,2012-10-21,74,192,7,-72.0,790.0,2012-10-21
62,217,2012-10-22,75,192,7,-73.0,791.0,2012-10-22
63,218,2012-10-23,76,193,7,-73.0,792.0,2012-10-23
64,219,2012-10-24,77,193,7,-71.0,792.0,2012-10-24
65,220,2012-10-25,78,194,7,-71.0,793.0,2012-10-25
66,221,2012-10-26,79,195,7,-73.0,795.0,2012-10-26
67,222,2012-10-27,80,195,7,-70.0,796.0,2012-10-27
68,223,2012-10-28,81,196,7,-72.0,798.0,2012-10-28
69,224,2012-10-29,82,196,7,-72.0,799.0,2012-10-29
70,225,2012-10-30,83,197,7,-72.0,801.0,2012-10-30
71,226,2012-10-31,84,198,7,-70.0,801.0,2012-10-31
72,227,2012-11-01,85,198,7,-71.0,805.0,2012-11-01
73,228,2012-11-02,86,199,7,-71.0,808.0,2012-11-02
74,229,2012-11-03,87,199,7,-70.0,808.0,2012-11-03
75,230,2012-11-04,88,200,7,-70.0,811.0,2012-11-04
76,231,2012-11-05,89,201,7,-73.0,813.0,2012-11-05
77,233,2012-11-06,90,201,7,-71.0,813.0,2012-11-06
78,234,2012-11-07,91,202,7,-74.0,817.0,2012-11-07
79,235,2012-11-08,92,202,7,-74.0,820.0,2012-11-08
80,236,2012-11-09,93,203,7,-72.0,819.0,2012-11-09
81,237,2012-11-10,94,204,7,-70.0,822.0,2012-11-10
82,238,2012-11-11,95,204,7,-68.0,822.0,2012-11-11
83,239,2012-11-12,96,205,7,-71.0,826.0,2012-11-12
84,240,2012-11-13,97,206,7,-68.0,828.0,2012-11-13
85,241,2012-11-14,98,206,7,-68.0,828.0,2012-11-14
86,242,2012-11-15,99,207,7,-68.0,829.0,2012-11-15
87,3,2012-11-16,100,207,7,-66.0,829.0,2012-11-16
88,4,2012-11-17,101,208,7,-65.0,830.0,2012-11-17
89,5,2012-11-18,102,209,7,-67.0,833.0,2012-11-18
90,6,2012-11-19,103,209,7,-66.0,836.0,2012-11-19
91,7,2012-11-20,104,210,8,-67.0,838.0,2012-11-20
92,8,2012-11-21,105,211,8,-66.0,839.0,2012-11-21
93,9,2012-11-23,106,211,8,-66.0,841.0,2012-11-23
94,10,2012-11-24,107,212,8,-66.0,844.0,2012-11-24
95,11,2012-11-25,108,212,8,-65.0,845.0,2012-11-25
96,12,2012-11-26,109,213,8,-64.0,844.0,2012-11-26
97,14,2012-11-27,110,214,8,-65.0,848.0,2012-11-27
98,15,2012-11-28,111,214,8,-66.0,849.0,2012-11-28
99,16,2012-11-29,112,215,8,-65.0,852.0,2012-11-29
100,17,2012-11-30,113,216,8,-66.0,857.0,2012-11-30
101,18,2012-12-01,114,216,8,-69.0,857.0,2012-12-01
102,19,2012-12-02,115,217,8,-66.0,857.0,2012-12-02
103,20,2012-12-03,116,217,8,-67.0,859.0,2012-12-03
104,21,2012-12-04,117,218,8,-66.0,861.0,2012-12-04
105,22,2012-12-05,118,219,8,-65.0,864.0,2012-12-05
106,23,2012-12-06,119,219,8,-66.0,866.0,2012-12-06
107,25,2012-12-07,120,220,8,-67.0,867.0,2012-12-07
108,26,2012-12-08,121,221,8,-66.0,869.0,2012-12-08
109,27,2012-12-09,122,221,8,-65.0,869.0,2012-12-09
110,28,2012-12-10,123,222,8,-66.0,875.0,2012-12-10
111,29,2012-12-11,124,223,8,-66.0,876.0,2012-12-11
112,30,2012-12-12,125,223,8,-68.0,880.0,2012-12-12
113,31,2012-12-13,126,224,8,-66.0,880.0,2012-12-13
114,32,2012-12-14,127,224,8,-67.0,884.0,2012-12-14
115,33,2012-12-15,128,225,8,-67.0,883.0,2012-12-15
116,34,2012-12-16,129,226,8,-65.0,886.0,2012-12-16
117,36,2012-12-17,130,226,8,-65.0,888.0,2012-12-17
118,37,2012-12-18,131,227,8,-65.0,889.0,2012-12-18
119,38,2012-12-19,132,228,8,-65.0,890.0,2012-12-19
120,39,2012-12-20,133,228,8,-65.0,891.0,2012-12-20
121,40,2012-12-21,134,229,8,-67.0,893.0,2012-12-21
122,41,2012-12-22,135,230,8,-65.0,894.0,2012-12-22
123,42,2012-12-23,136,230,8,-65.0,897.0,2012-12-23
124,43,2012-12-24,137,231,8,-64.0,896.0,2012-12-24
125,44,2012-12-25,138,232,8,-65.0,899.0,2012-12-25
126,45,2012-12-26,139,232,8,-66.0,899.0,2012-12-26
127,47,2012-12-27,140,233,8,-66.0,903.0,2012-12-27
128,48,2012-12-28,141,233,8,-64.0,904.0,2012-12-28
129,49,2012-12-29,142,234,8,-65.0,906.0,2012-12-29
130,50,2012-12-31,143,235,8,-63.0,908.0,2012-12-31
131,51,2013-01-01,144,235,8,-64.0,907.0,2013-01-01
132,52,2013-01-02,145,236,8,-64.0,909.0,2013-01-02
133,53,2013-01-03,146,237,8,-65.0,908.0,2013-01-03
134,54,2013-01-04,147,237,8,-65.0,914.0,2013-01-04
135,55,2013-01-05,148,238,8,-65.0,912.0,2013-01-05
136,56,2013-01-06,149,239,8,-65.0,914.0,2013-01-06
137,58,2013-01-07,150,239,8,-64.0,913.0,2013-01-07
138,59,2013-01-08,151,240,9,-65.0,915.0,2013-01-08
139,60,2013-01-09,152,241,9,-63.0,914.0,2013-01-09
140,61,2013-01-10,153,241,9,-65.0,915.0,2013-01-10
141,62,2013-01-11,154,242,9,-65.0,917.0,2013-01-11
142,63,2013-01-12,155,243,9,-64.0,917.0,2013-01-12
143,64,2013-01-13,156,243,9,-65.0,922.0,2013-01-13
144,65,2013-01-14,157,244,9,-64.0,920.0,2013-01-14
145,66,2013-01-15,158,245,9,-66.0,922.0,2013-01-15
146,67,2013-01-16,159,245,9,-65.0,918.0,2013-01-16
147,69,2013-01-17,160,246,9,-67.0,919.0,2013-01-17
148,70,2013-01-18,161,246,9,-65.0,919.0,2013-01-18
149,71,2013-01-19,162,247,9,-65.0,919.0,2013-01-19
150,72,2013-01-20,163,248,9,-65.0,919.0,2013-01-20
151,73,2013-01-21,164,248,9,-64.0,919.0,2013-01-21
152,74,2013-01-22,165,249,9,-65.0,922.0,2013-01-22
153,75,2013-01-23,166,250,9,-65.0,922.0,2013-01-23
154,76,2013-01-24,167,250,9,-65.0,920.0,2013-01-24
155,77,2013-01-25,168,251,9,-66.0,923.0,2013-01-25
156,78,2013-01-26,169,252,9,-66.0,922.0,2013-01-26
157,80,2013-01-27,170,252,9,-66.0,925.0,2013-01-27
158,81,2013-01-28,171,253,9,-67.0,925.0,2013-01-28
159,82,2013-01-29,172,254,9,-67.0,923.0,2013-01-29
160,83,2013-01-30,173,254,9,-67.0,920.0,2013-01-30
161,84,2013-01-31,174,255,9,-67.0,921.0,2013-01-31
162,85,2013-02-01,175,256,9,-68.0,921.0,2013-02-01
163,86,2013-02-02,176,256,9,-67.0,920.0,2013-02-02
164,87,2013-02-03,177,257,9,-66.0,921.0,2013-02-03
165,88,2013-02-04,178,258,9,-66.0,920.0,2013-02-04
166,89,2013-02-06,179,258,9,-66.0,920.0,2013-02-06
167,91,2013-02-07,180,259,9,-67.0,919.0,2013-02-07
168,92,2013-02-08,181,260,9,-67.0,918.0,2013-02-08
169,93,2013-02-09,182,260,9,-67.0,921.0,2013-02-09
170,94,2013-02-10,183,261,9,-67.0,921.0,2013-02-10
171,95,2013-02-11,184,261,9,-67.0,923.0,2013-02-11
172,96,2013-02-12,185,262,9,-67.0,923.0,2013-02-12
173,97,2013-02-13,186,263,9,-66.0,922.0,2013-02-13
174,98,2013-02-14,187,263,9,-67.0,921.0,2013-02-14
175,99,2013-02-15,188,264,9,-68.0,920.0,2013-02-15
176,100,2013-02-16,189,265,9,-68.0,920.0,2013-02-16
177,102,2013-02-17,190,265,9,-66.0,917.0,2013-02-17
178,103,2013-02-18,191,266,9,-67.0,921.0,2013-02-18
179,106,2013-02-23,196,269,9,-66.0,916.0,2013-02-23
